Country,Crop,Acres
Cyprus,Plums/Prunes,1038
Cyprus,Apricots,568
Cyprus,Grapes,14579
Cyprus,Avocados,445
Cyprus,Olives,26168
Cyprus,Figs,445
Cyprus,Bananas,544
Cyprus,Almonds,5560
Cyprus,Walnuts,593
Cyprus,Hazelnuts,74
Czechia,Apples,17322
Czechia,Pears,1977
Czechia,Peaches,692
Czechia,Plums/Prunes,4744
Czechia,Apricots,2743
Czechia,Grapes,40575
Czechia,Walnuts,346
C̫te d'Ivoire,Oranges,8100
C̫te d'Ivoire,Grapefruit,11369
C̫te d'Ivoire,Avocados,12921
C̫te d'Ivoire,Mangoes,776671
C̫te d'Ivoire,Bananas,27041
C̫te d'Ivoire,Coconuts,101313
C̫te d'Ivoire,Almonds,6993
C̫te d'Ivoire,Cashews,3494151
C̫te d'Ivoire,Coffee,1331896
Democratic People's Republic of Korea,Apples,169514
Democratic People's Republic of Korea,Pears,34689
Democratic People's Republic of Korea,Peaches,60684
Democratic Republic of the Congo,Oranges,26423
Democratic Republic of the Congo,Lemons/Limes,1129
Democratic Republic of the Congo,Grapefruit,1512
Democratic Republic of the Congo,Avocados,23282
Democratic Republic of the Congo,Mangoes,45208
Democratic Republic of the Congo,Bananas,532089
Democratic Republic of the Congo,Coffee,368906
Denmark,Apples,3756
Denmark,Pears,741
Denmark,Plums/Prunes,272
Djibouti,Oranges,2
Djibouti,Tangerines,2
Djibouti,Lemons/Limes,1287
Djibouti,Pears,2
Djibouti,Mangoes,274
Djibouti,Dates,128
Dominica,Oranges,1856
Dominica,Tangerines,2
Dominica,Lemons/Limes,731
Dominica,Grapefruit,7727
Dominica,Avocados,534
Dominica,Mangoes,5807
Dominica,Bananas,1932
Dominica,Coconuts,8347
Dominica,Coffee,1003
Dominican Republic,Oranges,42339
Dominican Republic,Tangerines,4569
Dominican Republic,Lemons/Limes,84322
Dominican Republic,Grapefruit,976
Dominican Republic,Avocados,97807
Dominican Republic,Mangoes,13497
Dominican Republic,Bananas,93324
Dominican Republic,Coconuts,83788
Dominican Republic,Cashews,21711
Dominican Republic,Coffee,104217
Ecuador,Oranges,40337
Ecuador,Tangerines,16549
Ecuador,Lemons/Limes,14473
Ecuador,Grapefruit,1080
Ecuador,Apples,3358
Ecuador,Pears,5871
Ecuador,Peaches,3326
Ecuador,Plums/Prunes,2817
Ecuador,Apricots,175
Ecuador,Grapes,195
Ecuador,Avocados,10697
Ecuador,Figs,77
Ecuador,Mangoes,42359
Ecuador,Bananas,431868
Ecuador,Coconuts,6420
Ecuador,Coffee,73887
Egypt,Oranges,358075
Egypt,Tangerines,132994
Egypt,Lemons/Limes,47096
Egypt,Grapefruit,1507
Egypt,Apples,86899
Egypt,Pears,15451
Egypt,Peaches,37014
Egypt,Plums/Prunes,8444
Egypt,Apricots,13307
Egypt,Grapes,193535
Egypt,Avocados,445
Egypt,Olives,278381
Egypt,Figs,74329
Egypt,Mangoes,382904
Egypt,Bananas,80826
Egypt,Walnuts,11226
Egypt,Dates,183878
El Salvador,Oranges,6687
El Salvador,Tangerines,2026
El Salvador,Lemons/Limes,2513
El Salvador,Apples,16482
El Salvador,Avocados,2301
El Salvador,Olives,14159
El Salvador,Mangoes,3427
El Salvador,Bananas,1658
El Salvador,Coconuts,6469
El Salvador,Cashews,3613
El Salvador,Coffee,286669
Equatorial Guinea,Bananas,16260
Equatorial Guinea,Coconuts,3716
Equatorial Guinea,Coffee,27389
Estonia,Apples,1754
Estonia,Plums/Prunes,49
Eswatini,Oranges,18486
Eswatini,Tangerines,440
Eswatini,Grapefruit,11001
Eswatini,Plums/Prunes,645
Eswatini,Avocados,366
Eswatini,Mangoes,1137
Eswatini,Bananas,11177
Eswatini,Almonds,1633
Eswatini,Dates,240
Ethiopia,Oranges,15746
Ethiopia,Tangerines,7492
Ethiopia,Lemons/Limes,2518
Ethiopia,Peaches,67
Ethiopia,Grapes,5997
Ethiopia,Avocados,67793
Ethiopia,Mangoes,63592
Ethiopia,Bananas,215481
Ethiopia,Coffee,1963012
Fiji,Oranges,299
Fiji,Avocados,52
Fiji,Mangoes,126
Fiji,Bananas,1248
Fiji,Coconuts,7742
Fiji,Coffee,54
Finland,Apples,1532
Finland,Pears,124
France,Oranges,2347
France,Tangerines,5758
France,Lemons/Limes,5436
France,Grapefruit,964
France,Apples,133486
France,Pears,14604
France,Peaches,28417
France,Plums/Prunes,37288
France,Apricots,28071
France,Grapes,1871944
France,Avocados,321
France,Olives,42453
France,Figs,2076
France,Bananas,26934
France,Almonds,5461
France,Walnuts,66471
France,Hazelnuts,18681
French Polynesia,Oranges,35
French Polynesia,Tangerines,5
French Polynesia,Lemons/Limes,764
French Polynesia,Grapefruit,215
French Polynesia,Avocados,161
French Polynesia,Mangoes,292
French Polynesia,Bananas,576
French Polynesia,Coconuts,59305
French Polynesia,Coffee,240
Gabon,Citrus (Total),558
Gabon,Bananas,5612
Gabon,Coffee,675
Gambia,Mangoes,652
Gambia,Cashews,28832
Georgia,Oranges,924
Georgia,Tangerines,36441
Georgia,Lemons/Limes,2261
Georgia,Apples,63153
Georgia,Pears,4275
Georgia,Peaches,15842
Georgia,Plums/Prunes,24135
Georgia,Apricots,6353
Georgia,Grapes,118610
Georgia,Almonds,2385
Georgia,Walnuts,15214
Georgia,Hazelnuts,45443
Germany,Apples,81816
Germany,Pears,5115
Germany,Peaches,272
Germany,Plums/Prunes,11836
Germany,Apricots,717
Germany,Grapes,249255
Germany,Walnuts,1804
Germany,Hazelnuts,1285
Ghana,Oranges,43822
Ghana,Lemons/Limes,17732
Ghana,Avocados,5162
Ghana,Mangoes,17720
Ghana,Bananas,25721
Ghana,Coconuts,192742
Ghana,Cashews,925435
Ghana,Coffee,1137
Greece,Oranges,70894
Greece,Tangerines,23599
Greece,Lemons/Limes,8970
Greece,Grapefruit,445
Greece,Apples,26317
Greece,Pears,10749
Greece,Peaches,94468
Greece,Plums/Prunes,5313
Greece,Apricots,23129
Greece,Grapes,209323
Greece,Avocados,5016
Greece,Olives,2092139
Greece,Figs,3534
Greece,Bananas,272
Greece,Almonds,45566
Greece,Walnuts,42255
Greece,Hazelnuts,1779
Grenada,Oranges,220
Grenada,Lemons/Limes,44
Grenada,Grapefruit,358
Grenada,Apples,267
Grenada,Plums/Prunes,440
Grenada,Avocados,694
Grenada,Mangoes,635
Grenada,Bananas,1866
Grenada,Coconuts,5832
Guatemala,Oranges,3442
Guatemala,Lemons/Limes,10327
Guatemala,Apples,4594
Guatemala,Peaches,7917
Guatemala,Grapes,6847
Guatemala,Avocados,11750
Guatemala,Mangoes,33248
Guatemala,Bananas,189829
Guatemala,Coconuts,8631
Guatemala,Coffee,929162
Guinea,Oranges,25509
Guinea,Mangoes,250602
Guinea,Bananas,100171
Guinea,Coconuts,42589
Guinea,Cashews,111560
Guinea,Coffee,1608841
Guinea-Bissau,Oranges,3506
Guinea-Bissau,Lemons/Limes,1792
Guinea-Bissau,Mangoes,2385
Guinea-Bissau,Bananas,1789
Guinea-Bissau,Coconuts,27046
Guinea-Bissau,Cashews,450277
Guyana,Oranges,1033
Guyana,Lemons/Limes,403
Guyana,Grapefruit,1122
Guyana,Avocados,311
Guyana,Mangoes,272
Guyana,Bananas,1453
Guyana,Coconuts,40414
Guyana,Coffee,1735
Haiti,Oranges,41499
Haiti,Tangerines,11011
Haiti,Lemons/Limes,1964
Haiti,Grapefruit,11587
Haiti,Avocados,72948
Haiti,Mangoes,129965
Haiti,Bananas,134974
Haiti,Coconuts,26845
Haiti,Coffee,24281
Honduras,Oranges,20534
Honduras,Lemons/Limes,2624
Honduras,Grapefruit,3477
Honduras,Apples,225
Honduras,Grapes,94
Honduras,Avocados,1413
Honduras,Mangoes,64
Honduras,Bananas,34199
Honduras,Coconuts,3731
Honduras,Cashews,3682
Honduras,Coffee,689168
Hungary,Apples,58860
Hungary,Pears,6128
Hungary,Peaches,9588
Hungary,Plums/Prunes,17297
Hungary,Apricots,14382
Hungary,Grapes,143346
Hungary,Almonds,1038
Hungary,Walnuts,19324
Hungary,Hazelnuts,1260
India,Oranges,563399
India,Tangerines,1121857
India,Lemons/Limes,773439
India,Apples,778381
India,Pears,108726
India,Peaches,47365
India,Plums/Prunes,58979
India,Apricots,13961
India,Grapes,402781
India,Figs,14688
India,Mangoes,6681719
India,Bananas,2379621
India,Coconuts,5322642
India,Almonds,25407
India,Walnuts,255865
India,Cashews,2925723
India,Coffee,1185286
Indonesia,Oranges,175573
Indonesia,Avocados,158164
Indonesia,Mangoes,733267
Indonesia,Bananas,380067
Indonesia,Coconuts,6894230
Indonesia,Cashews,1117854
Indonesia,Coffee,3128253
Iran (Islamic Republic of),Oranges,158202
Iran (Islamic Republic of),Tangerines,38803
Iran (Islamic Republic of),Lemons/Limes,73170
Iran (Islamic Republic of),Grapefruit,9598
Iran (Islamic Republic of),Apples,256127
Iran (Islamic Republic of),Pears,8021
Iran (Islamic Republic of),Peaches,74591
Iran (Islamic Republic of),Plums/Prunes,37884
Iran (Islamic Republic of),Apricots,130264
Iran (Islamic Republic of),Grapes,272960
Iran (Islamic Republic of),Olives,89702
Iran (Islamic Republic of),Figs,29025
Iran (Islamic Republic of),Mangoes,18414
Iran (Islamic Republic of),Bananas,10485
Iran (Islamic Republic of),Almonds,97189
Iran (Islamic Republic of),Walnuts,136484
Iran (Islamic Republic of),Pistachios,528273
Iran (Islamic Republic of),Hazelnuts,64591
Iran (Islamic Republic of),Dates,305941
Iraq,Oranges,234063
